pertanyaan,jawaban,konteks
leres atanapi henteu alat paranti ngeureutan daging namina abir,leres,abir nyaeta peso badag paranti ngeureutan daging
leres atanapi henteu alat paranti nyaangan rohangan namina damar,leres,damar nyaeta alat paranti nyaangan rohangan make minyak tanah
leres atanapi henteu alat paranti ngageleng jenggel keur nyieun opak namina ulakan,leres,ulakan nyaeta alat paranti ngageleng jenggel keur nyieun opak
leres atanapi henteu alat paranti nyiuk beas tina batok kalapa namina kati,leres,kati nyaeta alat paranti nyiuk beas nu dijieun na tina batok kalapa
leres atanapi henteu wawadahan nu digunakeun keur ngala buah namina rombong,leres,rombong nyaeta wawadahan nu digunakeun keur ngala buah
leres atanapi henteu alat paranti nyimpen beas namina padaringan,leres,padaringan nyaeta alat paranti nyimpen beas
leres atanapi henteu Tarian khas jawa barat nu pang terkenalna namina jaipongan,leres,tari jaipong nyaeta kasenian tari nu paling terkenal ti jawa barat
leres atanapi henteu tarian khas jawa barat nu resep dilakonan barudak namina tari merak,leres,tari merak nyaeta kasenian tari nu khas ti jawa barat nu sok dilakonan ku barudak
leres atanapi henteu wayang  nu khas di jawa barat namina wayang golek,leres,wayang golek nyaeta kasenian khas jawa barat
leres atanapi henteu tarian anu asalna ti sumedang namina kuda renggong,leres,kuda renggong nyaeta kasenian tari anu asalna ti sumedang
leres atanapi henteu alat musik sunda nu miboga senar siga gitar namina kecapi,leres,kecapi nyaeta alat musik sunda nu miboga senar siga gitar
leres atanapi henteu kasenian nu mamawa boneka singa namina sisingaan,leres,sisingaan nyaeta kasenian nu mamawa boneka singa ku cara di panggul
leres atanapi henteu alat musik nu maenkeun na ditiup jeung dijieun na tina awi namina suling,leres,suling nyaeta alat musik nu maenkeun na ditiup dijieun na tina awi
leres atanapi henteu alat musik  nu maenkeun na digoyangkeun jeung dijieun na tina awi namina angklung,leres,suling nyaeta alat musik nu maenkeun na digoyangkeun dijieun na tina awi
leres atanapi henteu alat musik nu dijieun na tina pelepah daun kawung atawa belahan awi leutik namina karinding,leres,karinding nyaeta alat musik nu dijieun na tina beulahan awi leutik atawa pelepah kawung
leres atanapi henteu dina gamelan sunda alat musik anu sarua jeung gong ti leutik disebutna bonang ,leres,bonang nyaeta alat musik gamelan nu bentuk na siga gong tapi leutik
leres atanapi henteu alat musik anu ngaturan melodi dina gamelan sunda namina saron,leres,saron nyaeta alat musik instrumen gamelan anu ngaturan melodi
leres atanapi henteu alat musik nu maenkeun na dicabokan namina kendang,leres,kendang nyaeta alat musik instrumen gamelan nu maenkeun na dicabok 
leres atanapi henteu alat musik nu maenkeun na ku cara di gesek namina rebab,leres,rebab nyaeta alat musik nu cara maen na digesek jiga biola
leres atanapi henteu alat musik nu utama jang ngiring tari jaipongan namina kecapi,leres,alat musik utama nu ngiring tari jaipong nyaeta kecapi
leres atanapi henteu tari anu ngagambarkeun kaendahan bulan purnama namina panon hideung,leres,tari panon hideung nyaeta kasenian tari tradisional sunda anu ngagambarkeun  kaendahan bulan purnama
leres atanapi henteu tari anu ngagambarkeun gerakan endah nu terinspirasi tina merak namina tari merak,leres,tari merak nyaeta kasenian tari nu ngagambarkeun gerakan endah terinspirasi tina manuk merak
leres atanapi henteu alat musik anu siga angklung tapi cara maenkeun na di tabuh namina calung,leres,calung nyaeta alat musik siga angklung tapi cara maenkeun na di tabuh
leres atanapi henteu alat musik nu bentuk na buleud badag cara maenkeun na di takol namina goong,leres,goong nyaeta alat musik perangkat gamelan anu cara maen na di takol
leres atanapi henteu kasenian tari anu ngagambarkeun carita lucu jeung komedi namina serat ceprot,leres,tari serat ceprot nyaeta kasenian tari tradisional sunda nu ngagambarkeun caritaan lucu jeung komedi
leres atanapi henteu kasenian tari anu make topeng singa atawa maung namina reog,leres,reog nyaeta kasenian tari anu make topeng singa atawa maung
"leres atanapi henteu genre musik tradisional sunda nu ngalibatkeun instrumen siga suling , kendang jeung kacapi namina degung",leres,"degung nyaeta genre musik nu ngalibatkeun instrumen jiga suling, kendang jeung kacapi"
leres atanapi henteu pakakas paranti nakolan paku keur kai jeung sajabana disebut ragaji,henteu,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai
leres atanapi henteu pakakas paranti motongan kai disebutna palu,henteu,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana
leres atanapi henteu pakakas paranti muterkeun baud disebutna arit,henteu,arit nyaeta pakakas paranti ngala jukut atawa pare
leres atanapi henteu pakakas paranti muterkeun mur disebutna linggis,henteu,linggis nyaeta pakakas paranti ngaliangan tembok atawa taneuh
leres atanapi henteu pakakas paranti ngala jukut atawa pare teh namina parang,henteu,parang nyaeta pakakas paranti ngababad jukut dina galeng
leres atanapi henteu pakakas paranti ngadek teh namina kampak,henteu,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai
leres atanapi henteu pakakas anu bisa dijieun patik atawa rimbas teh namina gegendir,henteu,gegendir nyaeta pakakas paranti neunggeul nu beurat
leres atanapi henteu pakakas paragi neunggeul anu beurat namina baliung,henteu,baliung nyaeta pakakas nu bisa dijieun patik atawa rimbas
leres atanapi henteu pakakas paragi miceun jujukutan teh namina kujang,henteu,kujang nyaeta pakakas ciri khas sunda
leres atanapi henteu pakarang khas urang sunda nyaeta kored,henteu,kored nyaeta pakakas paranti miceun jujukutan
leres atanapi henteu pakakas paranti ngababad jukut dina galeng namina konci inggris,henteu,konci inggris nyaeta pakakas paranti muterkeun mur
leres atanapi henteu pakakas paranti meulah sabangsaning tangkal namina carangka,henteu,carangka nyaeta pakakas paranti wadah jukut
leres atanapi henteu wadah jukut meunang ngarit namina garu,henteu,garu nyaeta pakakas paranti ngawaluku
leres atanapi henteu pakakas paragi ngawaluku namina congkrang,henteu,congkrang nyaeta pakakas paranti nyacar
leres atanapi henteu pakakas paranti nyacar namina etem,henteu,etem nyaeta pakakas paranti ngala pare
leres atanapi henteu pakakas paranti ngala pare namina gaet,henteu,gaet nyaeta pakakas paragi ngait nu dijieun na tina kai digagangan
"leres atanapi henteu pakakas paranti ngait, dijieun tina awi digagangan namina jara",henteu,jara nyaeta pakakas paranti ngaliangan awi
leres atanapi henteu pakakas paranti ngaliangan awi namina kikir,henteu,kikir nyaeta pakakas paranti ngasah ragaji
leres atanapi henteu pakakas paranti ngasah ragaji namina taraje,henteu,taraje nyaeta pakakas paranti naek ka luhur
leres atanapi henteu pakakas paranti naek ka tempat luhur namina pacul,henteu,pacul nyaeta pakakas paranti macul taneuh
leres atanapi henteu pakakas paranti maculan taneuh namina sapu nyere,henteu,sapu nyere nyaeta pakakas paranti nyapukeun buruan imah
leres atanapi henteu pakakas paranti nyapukeun buruan imah namina ancung,henteu,ancung nyaeta pakakas paranti ngakut es kacang
leres atanapi henteu pakakas paranti ngakut es kacang namina balicong,henteu,balicong nyaeta pakakas paranti nugar
leres atanapi henteu pakakas paranti nugar namina bandring,henteu,bandring nyaeta pakakas paranti maledogkeun batu
leres atanapi henteu pakakas paranti maledogkeun batu namina dekol,henteu,dekol nyaeta pakakas nu bisa dipake ngadek jeung nakol
leres atanapi henteu pakakas paranti ngadek jeung bisa nakol namina gacok,henteu,gacok nyaeta pakakas paranti ngumpulkeun jukut garing
leres atanapi henteu pakakas paranti ngumpulkeun jukut garing namina gubang,henteu,gubang nyaeta pakakas siga bedog tapi leuwih panjang
leres atanapi henteu pakakas nu bentukna diga bedog tapi leuwih panjang namina gondewa,henteu,gondewa nyaeta pakakas paranti mentang jamparing
leres atanapi henteu pakakas paragi mentang jamparing namina jamparing,henteu,jamparing nyaeta pakakas paranti manah
leres atanapi henteu pakakas nu sok dipake manah namina sumpit,henteu,sumpit nyaeta pakakas paranti ngala lauk
leres atanapi henteu pakakas paranti ngala lauk namina sundung,henteu,sundung nyaeta alat paranti mawa barang
leres atanapi henteu pakakas paranti ngala barang namina peso,henteu,peso nyaeta pakakas paranti ngeureut
leres atanapi henteu pakakas paranti ngeureut namina susurung,henteu,susurung nyaeta pakakas paranti ngaratakeun taneuh nu geus diwaluku
leres atanapi henteu pakakas paranti ngaratakeun taneuh nu geus diwaluku namina boboko,henteu,boboko nyaeta alat paranti wawadahan
leres atanapi henteu alat paranti wawadahan namina peso,henteu,peso nyaeta alat paranti ngeureutan 
leres atanapi henteu alat paranti motongan sayur namina serok,henteu,serok nyaeta alat paranti nyerok pasakeun nu beres diigoreng
leres atanapi henteu alat paranti nyaring endog lamun enggeus digoreng namina nyiru,henteu,nyiru nyaeta alat paranti napikeun beas meunang nyosoh
leres atanapi henteu alat paranti napikeun beas beunang nyosoh namina besek,henteu,besek nyaeta wadah dahareun tinu hajatan
leres atanapi henteu alat paranti wadah dahareun dina hajatan namina ayakan,henteu,ayakan nyaeta alat paranti ngayak huut lemes
leres atanapi henteu alat paranti ngala hu'ut lemes namina aseupan,henteu,aseupan nyaeta alat paranti nyangu
leres atanapi henteu alat paranti nyangu namina hihid,henteu,hihid nyaeta alat paranti ngageberan sangu waktu ngakeul
leres atanapi henteu alat paranti ngageberan waktu ngakeul namina mutu,henteu,mutu nyaeta alat paranti ngarendos bumbu
leres atanapi henteu alat paranti ngarendos bumbu namina talenan,henteu,talenan nyaeta tiatakan paranti nyiksik bawang jeung sajabana
leres atanapi henteu alat paranti nyiksik bawang jeung sajabana namina teko,henteu,teko nyaeta paranti ngawadahan cai nginum
leres atanapi henteu alat paranti wadah cai pikeun nginum namina kawali,henteu,kawali nyaeta alat paranti ngagoreng
leres atanapi henteu alat paranti gogoreng namina cecempeh,henteu,cecempeh nyaeta nyiru leutik paranti moe lauk asin
leres atanapi henteu alat paranti moekeun lauk asin namina totolonto,henteu,totolonto nyaeta alat paranti wadah timbel
leres atanapi henteu alat paranti wadah timbel namina rinjing,henteu,rinjing nyaeta wadah paranti babawaan mun balanja kla pasar
leres atanapi henteu wadah nu gede paranti balanja ka pasar namina gerengseng,henteu,gerengseng nyaeta alat paranti nyieun dodol atawa wajit
leres atanapi henteu alat paranti nyieun dodol atawa wajit namina anglo,henteu,anglo nyaeta hawu leutik paranti ngaliwet atawa naheur cai
"leres atanapi henteu ngaran hawu leutik paranti ngaliwet, naheur cai namina gentong",henteu,gentong nyaeta wadah cai badag paranti masak
leres atanapi henteu wadah cai badag paranti masak namina bokor,henteu,bokor nyaeta tempat bubuahan tina tembaga
leres atanapi henteu tempat bubuahan nu dijeunna tina tembaga namina songsong,henteu,songsong nyaeta alat paranti niup seuneu dina hawu
leres atanapi henteu alat paranti niup seuneu dina hawu namina cowet,henteu,cowet nyaeta tatakan jang ngalemeskeun bumbu nu direndos
leres atanapi henteu alat paranti tatakan ngarendos namina cecenting,henteu,cecenting nyaeta alat paranti wawadahan leutik kaulinan barudak
leres atanapi henteu alat paranti wawadahan leutik kaulinan barudak namina piruruha,henteu,piruruhan nyaeta alat paranti ngawadahan runtah
leres atanapi henteu alat paranti ngawadahan runtah namina pangangen,henteu,pangangen nyaeta tempat ngakeul
leres atanapi henteu tempat paranti ngakeul namina tetenong,henteu,tetenong nyaeta tempat paranti kadaharan
leres atanapi henteu tempat paranti kadaharan namina pariuk,henteu,pariuk nyaeta alat paranti ngangeun
leres atanapi henteu alat paranti ngangeun namina sinduk,henteu,sinduk nyaeta alat paranti nyiuk angeun
leres atanapi henteu alat paranti nyiuk angeun namina keren,henteu,keren nyaeta alat paranti nyieun sorabi
leres atanapi henteu alat paranti nyieun surabi namina jajambaran,henteu,jajambaran nyaeta tempat paranti kukumbah
leres atanapi henteu tempat paranti kukumbah namina kekeb,henteu,kekeb nyaeta alat paranti nutupan sangu dina aseupan
leres atanapi henteu alat paranti nutupan sangu dina aseupan namina siwur,henteu,siwur nyaeta alat paranti nyiuk cai
leres atanapi henteu alat paranti nyiuk cai namina kastrol,henteu,kastrol nyaeta alat paranti ngaliwet
leres atanapi henteu alat paranti ngaliwet namina halu,henteu,halu nyaeta alat paranti nutu
leres atanapi henteu alat paranti nutu namina koja,henteu,koja nyaeta wawadahan tina jaring
leres atanapi henteu wawadahan tina jaring namina paraseuneu,henteu,paraseuneu nyaeta tempat nyimpen bibinihan luhureun hawu
leres atanapi henteu tempat nyimpen bibinihan luhureun hawu namina dongdang,henteu,dongdang nyaeta wawadahan paranti kadaharan keur ondangan
leres atanapi henteu wawadahan paranti kadaharan keur ondangan namina gibrig,henteu,gibrig nyaeta bilik nu dianyam rekep paranti moe pare
leres atanapi henteu alat paranti moe pare namina dulang,henteu,dulang nyaeta alat paranti ngakeul tina kai
leres atanapi henteu alat paranti ngakeul tina kai namina abir,henteu,abir nyaeta peso badag paranti ngeureutan daging
leres atanapi henteu alat paranti ngeureutan daging namina damar,henteu,damar nyaeta alat paranti nyaangan rohangan make minyak tanah
leres atanapi henteu alat paranti nyaangan rohangan namina ulakan,henteu,ulakan nyaeta alat paranti ngageleng jenggel keur nyieun opak
leres atanapi henteu alat paranti ngageleng jenggel keur nyieun opak namina kati,henteu,kati nyaeta alat paranti nyiuk beas nu dijieun na tina batok kalapa
leres atanapi henteu alat paranti nyiuk beas tina batok kalapa namina rombong,henteu,rombong nyaeta wawadahan nu digunakeun keur ngala buah
leres atanapi henteu wawadahan nu digunakeun keur ngala buah namina padaringan,henteu,padaringan nyaeta alat paranti nyimpen beas
leres atanapi henteu alat paranti nyimpen beas namina jaipongan,henteu,jaipongan nyaeta kasenian tari nu paling terkenal ti jawa barat
leres atanapi henteu Tarian khas jawa barat nu pang terkenalna namina tari merak,henteu,tari merak nyaeta kasenian tari nu khas ti jawa barat nu sok dilakonan ku barudak
leres atanapi henteu tarian khas jawa barat nu resep dilakonan barudak namina wayang golek,henteu,wayang golek nyaeta kasenian khas jawa barat
leres atanapi henteu wayang  nu khas di jawa barat namina kuda renggong,henteu,kuda renggong nyaeta kasenian tari anu asalna ti sumedang
leres atanapi henteu tarian anu asalna ti sumedang namina kecapi,henteu,kecapi nyaeta alat musik sunda nu miboga senar siga gitar
leres atanapi henteu alat musik sunda nu miboga senar siga gitar namina sisingaan,henteu,sisingaan nyaeta kasenian nu mamawa boneka singa ku cara di panggul
leres atanapi henteu kasenian nu mamawa boneka singa namina suling,henteu,suling nyaeta alat musik nu maenkeun na ditiup dijieun na tina awi
leres atanapi henteu alat musik nu maenkeun na ditiup jeung dijieun na tina awi namina angklung,henteu,suling nyaeta alat musik nu maenkeun na digoyangkeun dijieun na tina awi
leres atanapi henteu alat musik  nu maenkeun na digoyangkeun jeung dijieun na tina awi namina karinding,henteu,karinding nyaeta alat musik nu dijieun na tina beulahan awi leutik atawa pelepah kawung
leres atanapi henteu alat musik nu dijieun na tina pelepah daun kawung atawa belahan awi leutik namina bonang,henteu,bonang nyaeta alat musik gamelan nu bentuk na siga gong tapi leutik
leres atanapi henteu dina gamelan sunda alat musik anu sarua jeung gong ti leutik disebutna saron,henteu,saron nyaeta alat musik instrumen gamelan anu ngaturan melodi
leres atanapi henteu alat musik anu ngaturan melodi dina gamelan sunda namina kendang,henteu,kendang nyaeta alat musik instrumen gamelan nu maenkeun na dicabok 
leres atanapi henteu alat musik nu maenkeun na dicabokan namina rebab,henteu,rebab nyaeta alat musik nu cara maen na digesek jiga biola
leres atanapi henteu alat musik nu maenkeun na ku cara di gesek namina kecapi,henteu,alat musik utama nu ngiring tari jaipong nyaeta kecapi
leres atanapi henteu alat musik nu utama jang ngiring tari jaipongan namina panon hideung,henteu,tari panon hideung nyaeta kasenian tari tradisional sunda anu ngagambarkeun  kaendahan bulan purnama
leres atanapi henteu tari anu ngagambarkeun kaendahan bulan purnama namina tari merak,henteu,tari merak nyaeta kasenian tari nu ngagambarkeun gerakan endah terinspirasi tina manuk merak
leres atanapi henteu tari anu ngagambarkeun gerakan endah nu terinspirasi tina merak namina calung,henteu,calung nyaeta alat musik siga angklung tapi cara maenkeun na di tabuh
leres atanapi henteu alat musik anu siga angklung tapi cara maenkeun na di tabuh namina goong,henteu,goong nyaeta alat musik perangkat gamelan anu cara maen na di takol
leres atanapi henteu alat musik nu bentuk na buleud badag cara maenkeun na di takol namina serat ceprot,henteu,tari serat ceprot nyaeta kasenian tari tradisional sunda nu ngagambarkeun caritaan lucu jeung komedi
leres atanapi henteu kasenian tari anu ngagambarkeun carita lucu jeung komedi namina reog,henteu,reog nyaeta kasenian tari anu make topeng singa atawa maung
leres atanapi henteu kasenian tari anu make topeng singa atawa maung namina degung,henteu,"degung nyaeta genre musik nu ngalibatkeun instrumen jiga suling, kendang jeung kacapi"
"leres atanapi henteu genre musik tradisional sunda nu ngalibatkeun instrumen siga suling , kendang jeung kacapi namina gamelan",henteu,gamelan nyaeta seperangkat alat musik khas tradisional nu sok dipake ngiring tari
leres atanapi henteu baki teh alat paranti mawa minuman jeung kadaharan jang nyuguhan,leres,baki nyaeta alat paranti mawa minuman jeung kadaharan jang nyuguhan tamu
leres atanapi henteu baki teh alat paranti ngawadahan minuman jeung kadaharan,henteu,baki nyaeta alat paranti mawa minuman jeung kadaharan jang nyuguhan tamu
leres atanapi henteu kendi teh alat paranti nyimpen cai atanapi beas,leres,kendi nyaeta alat paranti nyimpen cai atanapi beas
leres atanapi henteu kendi teh alat paranti nyimpen jukut meunang ngored,henteu,kendi nyaeta alat paranti nyimpen cai atanapi beas
leres atanapi henteu salah sahiji kadaharan khas cirebon teh nyaeta nasi jamblang,leres,nasi jamblang nyaeta salah sahiji kadaharan khas daerah cirebong
leres atanapi henteu salah sahiji kadaharan khas purwakarta nyaeta simping,leres,simping nyaeta salah sahiji kadaharan khas daerah purwakarta
leres atanapi henteu salah sahiji kadaharan khas cianjur teh nyaeta tauco,leres,tauco nyaeta salah sahiji kadaharan khas daerah cianjur
leres atanapi henteu salah sahiji kadaharan khas garut teh nyaeta dodol,leres,dodol nyaeta salah sahiji kadaharan khas daerah garut
leres atanapi henteu salah sahiji kadaharan khas tasikmalaya teh nyaeta tutug oncom,leres,tutug oncom nyaeta salah sahiji kadaharan khas daerah tasikmalaya
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina sampeu teh nyaeta comro,leres,comro nyaeta salah sahiji kadaharan anu dijieunna tina sampeu jeung cipati
leres atanapi henteu salah sahiji kadaharan nu dijieun na tina ketan teh nyaeta opak,leres,opak nyaeta salah sakiji kadaharan nu dijieunna tina ketan
leres atanapi henteu salah sahiji kadaharan nu eusina sayur make bumbu kacang teh nyaeta lotek,leres,lotek nyaeta salah sahiji kadaharan tina sayur sayuran atah atawa asak meunang ngulub terus digalokeun jeung bumbu kacang
leres atanapi henteu kadaharan nu nuju viral jaman kiwari teh nyaeta seblak,leres,seblak nyaeta kadaharan jaman kiwari anu keur viral atawa terkenal di sakabeh kalangan
leres atanapi henteu sampeu nu asalna diparud dikalapaan tuluy di gulaan naminateh bakecrot,leres,bakecrot kadaharan nu dijieun na tina sampeu tuluy di awuran parud kalapa dijerona aya gula beureum cair
leres atanapi henteu salah sahiji kadaharan khas Sumedang anu dijieunna tina olahan kacang kedele teh nyaeta tahu,leres,tahu nyaeta kadaharan nu bahan na tina kacang kedele
leres atanapi henteu salah sahiji kadaharan khas Ciamis anu dijieunna tina kalapa teh nyaeta galendo,leres,galendo nyaeta kadaharan khas ciamis anu dijieun na tina kalapa
"leres atanapi heteu kadaharan anu biasa dijadikeun batur dahar, boh dahar sangu atawa dahareun beurat sejenna namina kurupuk",leres,kurupuk nyaeta kadaharan nu sok dijadikeun rencang sangu
